Shift LUT?,Intercept SE, Slope SE, Ex LUT Interpolation, Em LUT Interpolation,Ex LUT Split, Em LUT Split, Constant Diode, 310 nm, 320 nm, 330 nm, 340 nm
False,none,none,quadratic,slinear,none,odd,False,0.583614099436,0.562500158138,0.641841271963,0.451821428311
False,none,none,quadratic,slinear,none,odd,True,0.567776455347,0.560604165494,0.652288364598,0.446824920323
False,none,none,quadratic,slinear,even,none,False,0.589006245633,0.565386946502,0.644635275565,0.455490078658
False,none,none,quadratic,slinear,even,none,True,0.57302138377,0.563487876053,0.655136051996,0.450456476353
False,none,none,quadratic,slinear,even,even,False,0.597898735322,0.564161026423,0.643124176651,0.457965640221
False,none,none,quadratic,slinear,even,even,True,0.581706484746,0.562268784838,0.653608332843,0.452907119039
False,none,none,quadratic,slinear,even,odd,False,0.583614099436,0.562500158138,0.641841271963,0.451821428311
False,none,none,quadratic,slinear,even,odd,True,0.567776455347,0.560604165494,0.652288364598,0.446824920323
False,none,none,quadratic,slinear,odd,none,False,0.589006245633,0.565386946502,0.644635275565,0.455490078658
False,none,none,quadratic,slinear,odd,none,True,0.57302138377,0.563487876053,0.655136051996,0.450456476353
False,none,none,quadratic,slinear,odd,even,False,0.597898735322,0.564161026423,0.643124176651,0.457965640221
False,none,none,quadratic,slinear,odd,even,True,0.581706484746,0.562268784838,0.653608332843,0.452907119039
False,none,none,quadratic,slinear,odd,odd,False,0.583614099436,0.562500158138,0.641841271963,0.451821428311
False,none,none,quadratic,slinear,odd,odd,True,0.567776455347,0.560604165494,0.652288364598,0.446824920323
False,none,none,quadratic,quadratic,none,none,False,0.588283968716,0.566055340456,0.645449399966,0.455685679052
False,none,none,quadratic,quadratic,none,none,True,0.572312490662,0.564154657826,0.655963324792,0.450650367127
False,none,none,quadratic,quadratic,none,even,False,0.597095901736,0.566450068459,0.645164630062,0.458558920334
False,none,none,quadratic,quadratic,none,even,True,0.580919809128,0.564550240953,0.655681838361,0.453494464964
False,none,none,quadratic,quadratic,none,odd,False,0.581476135558,0.565953841269,0.644933473109,0.452601882605
False,none,none,quadratic,quadratic,none,odd,True,0.565692980946,0.564050087596,0.655433951532,0.447597484566
False,none,none,quadratic,quadratic,even,none,False,0.588283968716,0.566055340456,0.645449399966,0.455685679052
False,none,none,quadratic,quadratic,even,none,True,0.572312490662,0.564154657826,0.655963324792,0.450650367127
False,none,none,quadratic,quadratic,even,even,False,0.597095901736,0.566450068459,0.645164630062,0.458558920334
False,none,none,quadratic,quadratic,even,even,True,0.580919809128,0.564550240953,0.655681838361,0.453494464964
False,none,none,quadratic,quadratic,even,odd,False,0.581476135558,0.565953841269,0.644933473109,0.452601882605
False,none,none,quadratic,quadratic,even,odd,True,0.565692980946,0.564050087596,0.655433951532,0.447597484566
