InterceptSE,Slope SE,Constant Diode,Ex LUT Interpolation,Em LUT Interpolation,Ex LUT Split,Em LUT Split,Shift LUT?,Start of Correction Region,350 nm,360 nm,370 nm,380 nm
none,none,False,quadratic,linear,odd,none,False,390,0.749557258638,0.757935757019,0.728782813977,0.75940965332
none,none,True,quadratic,linear,odd,none,False,390,0.742147255866,0.757327965991,0.734700135806,0.758377362408
none,none,False,quadratic,linear,odd,even,False,390,0.748896547374,0.761075724683,0.724083098031,0.759318028062
none,none,True,quadratic,linear,odd,even,False,390,0.7414935384,0.760464742644,0.729968405133,0.758288339454
none,none,False,quadratic,linear,odd,odd,False,390,0.748643413809,0.748860099886,0.733077579959,0.758945035495
none,none,True,quadratic,linear,odd,odd,False,390,0.741242568001,0.748259266503,0.739033843674,0.757913891639
none,none,False,quadratic,slinear,none,none,False,390,0.749557258638,0.757935757019,0.728782813977,0.75940965332
none,none,True,quadratic,slinear,none,none,False,390,0.742147255866,0.757327965991,0.734700135806,0.758377362408
none,none,False,quadratic,slinear,none,even,False,390,0.748896547374,0.761075724683,0.724083098031,0.759318028062
none,none,True,quadratic,slinear,none,even,False,390,0.7414935384,0.760464742644,0.729968405133,0.758288339454
none,none,False,quadratic,slinear,none,odd,False,390,0.748643413809,0.748860099886,0.733077579959,0.758945035495
none,none,True,quadratic,slinear,none,odd,False,390,0.741242568001,0.748259266503,0.739033843674,0.757913891639
none,none,False,quadratic,slinear,even,none,False,390,0.749557258638,0.757935757019,0.728782813977,0.75940965332
none,none,True,quadratic,slinear,even,none,False,390,0.742147255866,0.757327965991,0.734700135806,0.758377362408
none,none,False,quadratic,slinear,even,even,False,390,0.748896547374,0.761075724683,0.724083098031,0.759318028062
none,none,True,quadratic,slinear,even,even,False,390,0.7414935384,0.760464742644,0.729968405133,0.758288339454
none,none,False,quadratic,slinear,even,odd,False,390,0.748643413809,0.748860099886,0.733077579959,0.758945035495
none,none,True,quadratic,slinear,even,odd,False,390,0.741242568001,0.748259266503,0.739033843674,0.757913891639
none,none,False,quadratic,slinear,odd,none,False,390,0.749557258638,0.757935757019,0.728782813977,0.75940965332
none,none,True,quadratic,slinear,odd,none,False,390,0.742147255866,0.757327965991,0.734700135806,0.758377362408
none,none,False,quadratic,slinear,odd,even,False,390,0.748896547374,0.761075724683,0.724083098031,0.759318028062
none,none,True,quadratic,slinear,odd,even,False,390,0.7414935384,0.760464742644,0.729968405133,0.758288339454
none,none,False,quadratic,slinear,odd,odd,False,390,0.748643413809,0.748860099886,0.733077579959,0.758945035495
none,none,True,quadratic,slinear,odd,odd,False,390,0.741242568001,0.748259266503,0.739033843674,0.757913891639
none,none,False,quadratic,quadratic,none,none,False,390,0.749855996268,0.759113812289,0.728848230077,0.75951535973
none,none,True,quadratic,quadratic,none,none,False,390,0.742442879587,0.7585050747,0.734764611255,0.7584823612
none,none,False,quadratic,quadratic,none,even,False,390,0.749764315213,0.763241322031,0.724477742505,0.759608653208
none,none,True,quadratic,quadratic,none,even,False,390,0.742352804027,0.762627588594,0.73036514862,0.758578430549
none,none,False,quadratic,quadratic,none,odd,False,390,0.749492834921,0.748798632871,0.733560752897,0.758895818388
none,none,True,quadratic,quadratic,none,odd,False,390,0.742083266557,0.748197507819,0.73952158966,0.757863700806
none,none,False,quadratic,quadratic,even,none,False,390,0.749855996268,0.759113812289,0.728848230077,0.75951535973
none,none,True,quadratic,quadratic,even,none,False,390,0.742442879587,0.7585050747,0.734764611255,0.7584823612
none,none,False,quadratic,quadratic,even,even,False,390,0.749764315213,0.763241322031,0.724477742505,0.759608653208
none,none,True,quadratic,quadratic,even,even,False,390,0.742352804027,0.762627588594,0.73036514862,0.758578430549
none,none,False,quadratic,quadratic,even,odd,False,390,0.749492834921,0.748798632871,0.733560752897,0.758895818388
none,none,True,quadratic,quadratic,even,odd,False,390,0.742083266557,0.748197507819,0.73952158966,0.757863700806
none,none,False,quadratic,quadratic,odd,none,False,390,0.749855996268,0.759113812289,0.728848230077,0.75951535973
none,none,True,quadratic,quadratic,odd,none,False,390,0.742442879587,0.7585050747,0.734764611255,0.7584823612
none,none,False,quadratic,quadratic,odd,even,False,390,0.749764315213,0.763241322031,0.724477742505,0.759608653208
none,none,True,quadratic,quadratic,odd,even,False,390,0.742352804027,0.762627588594,0.73036514862,0.758578430549
none,none,False,quadratic,quadratic,odd,odd,False,390,0.749492834921,0.748798632871,0.733560752897,0.758895818388
none,none,True,quadratic,quadratic,odd,odd,False,390,0.742083266557,0.748197507819,0.73952158966,0.757863700806
none,none,False,quadratic,cubic,none,none,False,390,0.749884620023,0.75919614709,0.728827772232,0.759526447092
none,none,True,quadratic,cubic,none,none,False,390,0.742471207283,0.758587145292,0.734744523692,0.758493347569
none,none,False,quadratic,cubic,none,even,False,390,0.749952519016,0.763109545585,0.724777367379,0.759558245228
none,none,True,quadratic,cubic,none,even,False,390,0.742539252448,0.762495963876,0.730666620996,0.758528084119
none,none,False,quadratic,cubic,none,odd,False,390,0.74950477934,0.748757917959,0.733551165542,0.759103310318
none,none,True,quadratic,cubic,none,odd,False,390,0.742095045011,0.748156828513,0.739511938217,0.758071069081
none,none,False,quadratic,cubic,even,none,False,390,0.749884620023,0.75919614709,0.728827772232,0.759526447092
none,none,True,quadratic,cubic,even,none,False,390,0.742471207283,0.758587145292,0.734744523692,0.758493347569
none,none,False,quadratic,cubic,even,even,False,390,0.749952519016,0.763109545585,0.724777367379,0.759558245228
none,none,True,quadratic,cubic,even,even,False,390,0.742539252448,0.762495963876,0.730666620996,0.758528084119
none,none,False,quadratic,cubic,even,odd,False,390,0.74950477934,0.748757917959,0.733551165542,0.759103310318
none,none,True,quadratic,cubic,even,odd,False,390,0.742095045011,0.748156828513,0.739511938217,0.758071069081
none,none,False,quadratic,cubic,odd,none,False,390,0.749884620023,0.75919614709,0.728827772232,0.759526447092
none,none,True,quadratic,cubic,odd,none,False,390,0.742471207283,0.758587145292,0.734744523692,0.758493347569
none,none,False,quadratic,cubic,odd,even,False,390,0.749952519016,0.763109545585,0.724777367379,0.759558245228
none,none,True,quadratic,cubic,odd,even,False,390,0.742539252448,0.762495963876,0.730666620996,0.758528084119
none,none,False,quadratic,cubic,odd,odd,False,390,0.74950477934,0.748757917959,0.733551165542,0.759103310318
none,none,True,quadratic,cubic,odd,odd,False,390,0.742095045011,0.748156828513,0.739511938217,0.758071069081
none,none,False,cubic,linear,none,none,False,390,0.749557258638,0.757935757019,0.728782813977,0.75940965332
none,none,True,cubic,linear,none,none,False,390,0.742147255866,0.757327965991,0.734700135806,0.758377362408
none,none,False,cubic,linear,none,even,False,390,0.748896547374,0.761075724683,0.724083098031,0.759318028062
none,none,True,cubic,linear,none,even,False,390,0.7414935384,0.760464742644,0.729968405133,0.758288339454
none,none,False,cubic,linear,none,odd,False,390,0.748643413809,0.748860099886,0.733077579959,0.758945035495
none,none,True,cubic,linear,none,odd,False,390,0.741242568001,0.748259266503,0.739033843674,0.757913891639
none,none,False,cubic,linear,even,none,False,390,0.749557258638,0.757935757019,0.728782813977,0.75940965332
none,none,True,cubic,linear,even,none,False,390,0.742147255866,0.757327965991,0.734700135806,0.758377362408
none,none,False,cubic,linear,even,even,False,390,0.748896547374,0.761075724683,0.724083098031,0.759318028062
none,none,True,cubic,linear,even,even,False,390,0.7414935384,0.760464742644,0.729968405133,0.758288339454
none,none,False,cubic,linear,even,odd,False,390,0.748643413809,0.748860099886,0.733077579959,0.758945035495
none,none,True,cubic,linear,even,odd,False,390,0.741242568001,0.748259266503,0.739033843674,0.757913891639
none,none,False,cubic,linear,odd,none,False,390,0.749557258638,0.757935757019,0.728782813977,0.75940965332
none,none,True,cubic,linear,odd,none,False,390,0.742147255866,0.757327965991,0.734700135806,0.758377362408
none,none,False,cubic,linear,odd,even,False,390,0.748896547374,0.761075724683,0.724083098031,0.759318028062
none,none,True,cubic,linear,odd,even,False,390,0.7414935384,0.760464742644,0.729968405133,0.758288339454
none,none,False,cubic,linear,odd,odd,False,390,0.748643413809,0.748860099886,0.733077579959,0.758945035495
none,none,True,cubic,linear,odd,odd,False,390,0.741242568001,0.748259266503,0.739033843674,0.757913891639
none,none,False,cubic,slinear,none,none,False,390,0.749557258638,0.757935757019,0.728782813977,0.75940965332
none,none,True,cubic,slinear,none,none,False,390,0.742147255866,0.757327965991,0.734700135806,0.758377362408
none,none,False,cubic,slinear,none,even,False,390,0.748896547374,0.761075724683,0.724083098031,0.759318028062
none,none,True,cubic,slinear,none,even,False,390,0.7414935384,0.760464742644,0.729968405133,0.758288339454
none,none,False,cubic,slinear,none,odd,False,390,0.748643413809,0.748860099886,0.733077579959,0.758945035495
none,none,True,cubic,slinear,none,odd,False,390,0.741242568001,0.748259266503,0.739033843674,0.757913891639
none,none,False,cubic,slinear,even,none,False,390,0.749557258638,0.757935757019,0.728782813977,0.75940965332
none,none,True,cubic,slinear,even,none,False,390,0.742147255866,0.757327965991,0.734700135806,0.758377362408
none,none,False,cubic,slinear,even,even,False,390,0.748896547374,0.761075724683,0.724083098031,0.759318028062
none,none,True,cubic,slinear,even,even,False,390,0.7414935384,0.760464742644,0.729968405133,0.758288339454
none,none,False,cubic,slinear,even,odd,False,390,0.748643413809,0.748860099886,0.733077579959,0.758945035495
none,none,True,cubic,slinear,even,odd,False,390,0.741242568001,0.748259266503,0.739033843674,0.757913891639
none,none,False,cubic,slinear,odd,none,False,390,0.749557258638,0.757935757019,0.728782813977,0.75940965332
none,none,True,cubic,slinear,odd,none,False,390,0.742147255866,0.757327965991,0.734700135806,0.758377362408
none,none,False,cubic,slinear,odd,even,False,390,0.748896547374,0.761075724683,0.724083098031,0.759318028062
none,none,True,cubic,slinear,odd,even,False,390,0.7414935384,0.760464742644,0.729968405133,0.758288339454
none,none,False,cubic,slinear,odd,odd,False,390,0.748643413809,0.748860099886,0.733077579959,0.758945035495
none,none,True,cubic,slinear,odd,odd,False,390,0.741242568001,0.748259266503,0.739033843674,0.757913891639
none,none,False,cubic,quadratic,none,none,False,390,0.749855996268,0.759113812289,0.728848230077,0.75951535973
none,none,True,cubic,quadratic,none,none,False,390,0.742442879587,0.7585050747,0.734764611255,0.7584823612
none,none,False,cubic,quadratic,none,even,False,390,0.749764315213,0.763241322031,0.724477742505,0.759608653208
none,none,True,cubic,quadratic,none,even,False,390,0.742352804027,0.762627588594,0.73036514862,0.758578430549
none,none,False,cubic,quadratic,none,odd,False,390,0.749492834921,0.748798632871,0.733560752897,0.758895818388
none,none,True,cubic,quadratic,none,odd,False,390,0.742083266557,0.748197507819,0.73952158966,0.757863700806
none,none,False,cubic,quadratic,even,none,False,390,0.749855996268,0.759113812289,0.728848230077,0.75951535973
none,none,True,cubic,quadratic,even,none,False,390,0.742442879587,0.7585050747,0.734764611255,0.7584823612
none,none,False,cubic,quadratic,even,even,False,390,0.749764315213,0.763241322031,0.724477742505,0.759608653208
none,none,True,cubic,quadratic,even,even,False,390,0.742352804027,0.762627588594,0.73036514862,0.758578430549
none,none,False,cubic,quadratic,even,odd,False,390,0.749492834921,0.748798632871,0.733560752897,0.758895818388
none,none,True,cubic,quadratic,even,odd,False,390,0.742083266557,0.748197507819,0.73952158966,0.757863700806
none,none,False,cubic,quadratic,odd,none,False,390,0.749855996268,0.759113812289,0.728848230077,0.75951535973
none,none,True,cubic,quadratic,odd,none,False,390,0.742442879587,0.7585050747,0.734764611255,0.7584823612
none,none,False,cubic,quadratic,odd,even,False,390,0.749764315213,0.763241322031,0.724477742505,0.759608653208
none,none,True,cubic,quadratic,odd,even,False,390,0.742352804027,0.762627588594,0.73036514862,0.758578430549
